  122   240
   67   68   69
    6   70   68
    5   71   70
   24   68   71
   70   71   68
    5   72   71
    9   73   72
   24   71   73
   72   73   71
    9   74   73
    8   75   74
   24   73   75
   74   75   73
    8   76   75
    7   69   76
   24   75   69
   76   69   75
    8   74   78
    9   77   74
   25   78   77
   74   77   78
    9   79   77
   19   80   79
   25   77   80
   79   80   77
   19   46   80
   18   81   46
   25   80   81
   46   81   80
   18   82   81
   11   83   82
   25   81   83
   82   83   81
   11   84   83
    8   78   84
   25   83   78
   84   78   83
    8   84   86
   11   85   84
   26   86   85
   84   85   86
   11   87   85
   12   88   87
   26   85   88
   87   88   85
   12   89   88
   10   90   89
   26   88   90
   89   90   88
   10   91   90
    7   92   91
   26   90   92
   91   92   90
    7   76   92
    8   86   76
   26   92   86
   76   86   92
    7   91   94
   10   93   91
   27   94   93
   91   93   94
   10   95   93
   16   96   95
   27   93   96
   95   96   93
   16   63   96
   17   97   63
   27   96   97
   63   97   96
   17   98   97
    6   99   98
   27   97   99
   98   99   97
    6   67   99
    7   94   67
   27   99   94
   67   94   99
   17   98  101
    6  100   98
   28  101  100
   98  100  101
    6   70  100
    5  102   70
   28  100  102
   70  102  100
    5  103  102
    2  104  103
   28  102  104
  103  104  102
    2   35  104
    1  105   35
   28  104  105
   35  105  104
    1   65  105
   17  101   65
   28  105  101
   65  101  105
    5   72  107
    9  106   72
   29  107  106
   72  106  107
    9   79  106
   19  108   79
   29  106  108
   79  108  106
   19   44  108
    3  109   44
   29  108  109
   44  109  108
    3   37  109
    2  110   37
   29  109  110
   37  110  109
    2  103  110
    5  107  103
   29  110  107
  103  107  110
   16   61  112
   13  111   61
   30  112  111
   61  111  112
   13   55  111
   14  113   55
   30  111  113
   55  113  111
   14  114  113
   12  115  114
   30  113  115
  114  115  113
   12   89  115
   10  116   89
   30  115  116
   89  116  115
   10   95  116
   16  112   95
   30  116  112
   95  112  116
   12   87  118
   11  117   87
   31  118  117
   87  117  118
   11   82  117
   18  119   82
   31  117  119
   82  119  117
   18   48  119
   15  120   48
   31  119  120
   48  120  119
   15   53  120
   14  121   53
   31  120  121
   53  121  120
   14  114  121
   12  118  114
   31  121  118
  114  118  121
